time,distur,freq,rocof
0,-0.1,50,0
0.25,-0.1,49.918,0.32852
0.5,-0.1,49.875,0.17104
0.75,-0.1,49.856,0.075142
1,0,49.851,0.019618
0,-0.08,50,0
0.25,-0.1,49.934,0.26281
0.5,-0.1,49.884,0.20253
0.75,-0.1,49.86,0.094321
1,0,49.852,0.030722
0,-0.06,50,0
0.25,-0.1,49.951,0.19711
0.5,-0.1,49.892,0.23403
0.75,-0.1,49.864,0.1135
1,0,49.853,0.041827
0,-0.04,50,0
0.25,-0.1,49.967,0.13141
0.5,-0.1,49.901,0.26553
0.75,-0.1,49.868,0.13268
1,0,49.854,0.052932
0,-0.02,50,0
0.25,-0.1,49.984,0.065704
0.5,-0.1,49.909,0.29702
0.75,-0.1,49.871,0.15186
1,0,49.855,0.064037
0,0,50,0
0.25,-0.1,50,0
0.5,-0.1,49.918,0.32852
0.75,-0.1,49.875,0.17104
1,0,49.856,0.075142
0,0.02,50,0
0.25,-0.1,50.016,-0.065704
0.5,-0.1,49.926,0.36001
0.75,-0.1,49.879,0.19022
1,0,49.857,0.086247
0,0.04,50,0
0.25,-0.1,50.033,-0.13141
0.5,-0.1,49.935,0.39151
0.75,-0.1,49.883,0.2094
1,0,49.858,0.097352
0,0.06,50,0
0.25,-0.1,50.049,-0.19711
0.5,-0.1,49.944,0.42301
0.75,-0.1,49.886,0.22858
1,0,49.859,0.10846
0,0.08,50,0
0.25,-0.1,50.066,-0.26281
0.5,-0.1,49.952,0.4545
0.75,-0.1,49.89,0.24776
1,0,49.86,0.11956
0,0.1,50,0
0.25,-0.1,50.082,-0.32852
0.5,-0.1,49.961,0.486
0.75,-0.1,49.894,0.26693
1,0,49.861,0.13067
0,-0.1,50,0
0.25,-0.08,49.918,0.32852
0.5,-0.1,49.892,0.10533
0.75,-0.1,49.865,0.10664
1,0,49.855,0.038797
0,-0.08,50,0
0.25,-0.08,49.934,0.26281
0.5,-0.1,49.9,0.13683
0.75,-0.1,49.869,0.12582
1,0,49.856,0.049902
0,-0.06,50,0
0.25,-0.08,49.951,0.19711
0.5,-0.1,49.909,0.16833
0.75,-0.1,49.872,0.145
1,0,49.857,0.061007
0,-0.04,50,0
0.25,-0.08,49.967,0.13141
0.5,-0.1,49.917,0.19982
0.75,-0.1,49.876,0.16418
1,0,49.858,0.072112
0,-0.02,50,0
0.25,-0.08,49.984,0.065704
0.5,-0.1,49.926,0.23132
0.75,-0.1,49.88,0.18335
1,0,49.859,0.083216
0,0,50,0
0.25,-0.08,50,0
0.5,-0.1,49.934,0.26281
0.75,-0.1,49.884,0.20253
1,0,49.86,0.094321
0,0.02,50,0
0.25,-0.08,50.016,-0.065704
0.5,-0.1,49.943,0.29431
0.75,-0.1,49.887,0.22171
1,0,49.861,0.10543
0,0.04,50,0
0.25,-0.08,50.033,-0.13141
0.5,-0.1,49.951,0.32581
0.75,-0.1,49.891,0.24089
1,0,49.862,0.11653
0,0.06,50,0
0.25,-0.08,50.049,-0.19711
0.5,-0.1,49.96,0.3573
0.75,-0.1,49.895,0.26007
1,0,49.863,0.12764
0,0.08,50,0
0.25,-0.08,50.066,-0.26281
0.5,-0.1,49.969,0.3888
0.75,-0.1,49.899,0.27925
1,0,49.864,0.13874
0,0.1,50,0
0.25,-0.08,50.082,-0.32852
0.5,-0.1,49.977,0.42029
0.75,-0.1,49.902,0.29843
1,0,49.865,0.14985
0,-0.1,50,0
0.25,-0.06,49.918,0.32852
0.5,-0.1,49.908,0.039631
0.75,-0.1,49.873,0.13813
1,0,49.859,0.057976
0,-0.08,50,0
0.25,-0.06,49.934,0.26281
0.5,-0.1,49.917,0.071127
0.75,-0.1,49.877,0.15731
1,0,49.86,0.069081
0,-0.06,50,0
0.25,-0.06,49.951,0.19711
0.5,-0.1,49.925,0.10262
0.75,-0.1,49.881,0.17649
1,0,49.861,0.080186
0,-0.04,50,0
0.25,-0.06,49.967,0.13141
0.5,-0.1,49.934,0.13412
0.75,-0.1,49.885,0.19567
1,0,49.862,0.091291
0,-0.02,50,0
